full_name,url,stars,forks,language,domain,what_it_extracts,created,last_activity,current_mechanism,hand_rolled,volume_signals
agruai/company-research-agent,https://github.com/agruai/company-research-agent,131,14,Python,news/media,"Automated Miulti AI Agent for company research with LangGraph— scrapes web data, extracts business insights, and generates structured reports using LLM analysis.",2025-09-28,2026-08-09,none shown,yes,web_scrape
infosecn1nja/TTPMapper,https://github.com/infosecn1nja/TTPMapper,58,12,Python,logs/security,"TTPMapper is an AI-driven threat intelligence parser that converts unstructured reports whether from web URLs or PDF files into structured intelligence. Using the DeepSeek LLM, it extracts MITRE ATT&C",2025-06-19,2026-07-28,none shown,yes,pdf;web_scrape
Zackriya-Solutions/diagram2graph,https://github.com/Zackriya-Solutions/diagram2graph,52,4,Jupyter Notebook,knowledge graph,An AI Vision Language Model System for extracting structured knowledge graph information(JSON) from images of process diagrams,2025-02-13,2026-08-06,prompt_and_parse,yes,ocr_vision;eval
sarabesh/HybridRAG,https://github.com/sarabesh/HybridRAG,51,5,Jupyter Notebook,knowledge graph,"A hybrid retrieval system for RAG that combines vector search and graph search, integrating unstructured and structured data. It retrieves context using embeddings and a knowledge graph, then passes i",2024-12-08,2026-08-03,none shown,yes,
colorfulandcjy0806/Arxiv-tracker,https://github.com/colorfulandcjy0806/Arxiv-tracker,50,87,Python,jobs/recruiting;research papers,"定时检索 arXiv（按学科/关键词），自动抽取标题/作者/会议/时间/链接，生成 JSON/Markdown/网页，支持SKILL调用、邮件推送与可选 LLM 中英双语摘要。Scheduled searches of arXiv (by subject/keyword), automatic extraction of titles/authors/conferences/dates/links",2025-08-22,2026-08-14,none shown,yes,batch;pdf
JustCabaret/AIReceiptParser,https://github.com/JustCabaret/AIReceiptParser,46,6,Python,invoices/finance,"An AI-powered application that uses OCR (Optical Character Recognition) and GPT-4 to extract, process, and organize data from receipt images into structured formats. Perfect for automating expense tra",2024-12-15,2026-05-17,none shown,yes,ocr_vision
sebastienrousseau/bankstatementparser,https://github.com/sebastienrousseau/bankstatementparser,43,10,Python,invoices/finance,"Parse bank statements — CAMT/ISO 20022, PAIN.001, CSV (EN/DE/FR/ES), OFX/QFX, MT940, PDFs (digital + scanned) — into unified Transactions. Deterministic parsers, LLM/vision fallback, Golden Rule + mul",2023-11-08,2026-08-14,openai_structured_outputs,yes,batch;pdf;ocr_vision;eval
hasan-sayeed/KnowMat2,https://github.com/hasan-sayeed/KnowMat2,22,6,Python,research papers,"KnowMat is an advanced, AI-powered Agentic pipeline that automatically extracts structured, machine-readable materials science data from unstructured scientific literature (PDFs).",2025-10-12,2026-07-23,grammar_constrained,yes,batch;pdf;ocr_vision;eval
sundi133/rag-eval,https://github.com/sundi133/rag-eval,19,3,Python,e-commerce,"Automated extraction [ET] & generation of high quality dataset based on your documents (pdf, csv, json, text files etc) to evaluate any LLM app endpoints",2023-09-29,2026-07-31,none shown,yes,pdf;eval
MadsDoodle/Knowledge-Graph-using-RDF-LLM,https://github.com/MadsDoodle/Knowledge-Graph-using-RDF-LLM,17,1,TypeScript,knowledge graph,"The Knowledge Graph System is a comprehensive AI-powered pipeline for extracting entities and relationships from unstructured documents (PDF, TXT, DOCX) to build structured knowledge graphs. It levera",2025-10-26,2026-07-13,none shown,yes,batch;pdf;eval
j-frei/Infherno,https://github.com/j-frei/Infherno,17,5,Python,medical,End-to-end agent to transform unstructured clinical notes into structured FHIR data (EACL 2026),2025-02-07,2026-07-21,none shown,yes,eval
AkshayG999/MistralOCR---AI-Powered-Document-Extraction,https://github.com/AkshayG999/MistralOCR---AI-Powered-Document-Extraction,16,2,Python,invoices/finance,"MistralOCR is an open-source application that transforms documents into structured data using Mistral AI's OCR capabilities. Built with FastAPI and Streamlit, it provides an intuitive interface for ex",2025-03-08,2026-07-10,none shown,yes,pdf;ocr_vision
larrymargerum01/Document-Intelligence,https://github.com/larrymargerum01/Document-Intelligence,13,0,Python,invoices/finance;research papers,"Developed a Document Intelligence platform that automates document processing using OCR, NLP, and AI to extract, classify, and validate structured information from PDFs, invoices, forms, and scanned d",2026-07-10,2026-08-09,none shown,yes,batch;pdf;ocr_vision;eval
