repo,layer,schema_language,call_shape,enforcement,retry_on_validation_failure,source_grounding,confidence_scores,batch_support,providers,license,notable,evidence_url
1rgs/jsonformer,constrained-decoding,"JSON Schema (subset: object, array, string, number, boolean)","jsonformer = Jsonformer(model, tokenizer, json_schema, prompt); generated_data = jsonformer()",constrained-decoding,True,False,False,False,single (local HuggingFace transformers models only; needs raw logits access),MIT (stated in README; no LICENSE file present in the repo),"Only value tokens are sampled; braces, quotes and keys are written by the driver",https://raw.githubusercontent.com/1rgs/jsonformer/HEAD/README.md
567-labs/instructor,extraction-primitive,pydantic BaseModel,"user = client.chat.completions.create(response_model=User, messages=[{""role"": ""user"", ""content"": ""John is 25 years old""}])",mixed,True,False,False,True,"OpenAI, Anthropic, Google/Gemini, Vertex AI, Mistral, Cohere, Groq, Ollama, Bedrock, Fireworks, Cerebras, Writer, xAI, Perplexity, OpenRouter",MIT,"Patches the provider's own SDK client, so create() keeps its native signature plus response_model",https://raw.githubusercontent.com/567-labs/instructor/HEAD/README.md
BoundaryML/baml,extraction-primitive,"custom DSL (.baml class/enum), codegen to Pydantic/TS types",from baml_client import b; resume = b.ExtractResume(resume_text),prompt-and-parse,False,False,False,True,"OpenAI, OpenAI Responses, Anthropic, Google AI/Gemini, Vertex, AWS Bedrock, Azure, OpenRouter, openai-generic (Groq, Ollama, LM Studio, Cerebras, LiteLLM, HuggingFace)",Apache-2.0,Schema-Aligned Parsing coerces malformed LLM text into the schema instead of using provider structured outputs,https://raw.githubusercontent.com/BoundaryML/baml/HEAD/fern/01-guide/04-baml-basics/my-first-function.mdx
Mirascope/mirascope,extraction-primitive,"pydantic BaseModel, plus primitives and generics (list[Book], dict[str,str], Enum, Literal) via format=","@llm.call(""anthropic/claude-sonnet-4-5"", format=Book) -> book = recommend_book(""fantasy"").parse()",mixed,True,False,False,True,"openai, anthropic, google, mlx/local, plus openai-compatible endpoints",MIT,"Formatting mode is pluggable per call: strict, tool, json, or custom parser; defaults to strict.",https://raw.githubusercontent.com/Mirascope/mirascope/HEAD/README.md
PrefectHQ/marvin,extraction-primitive,"python type annotations - pydantic BaseModel, TypedDict, Enum, Literal, builtins (Task result_type)","result = marvin.extract(""i found $30 on the ground and bought 5 bagels for $10"", int, instructions=""only USD"")",function-tool-calling,True,False,False,True,"openai (default), anthropic, google, groq, mistral, bedrock, cohere, ollama - any Pydantic AI model",Apache-2.0,Every extraction is an agent task; result arrives as a forced MarkTaskSuccessful end-turn tool call.,https://raw.githubusercontent.com/PrefectHQ/marvin/HEAD/README.md
ScrapeGraphAI/Scrapegraph-ai,web-extraction,pydantic BaseModel (optional; omitted means free-form JSON dict),"SmartScraperGraph(prompt=""List me all the projects with their description"", source=""https://perinim.github.io/projects/"", schema=Projects, config=graph_config).run()",mixed,False,False,False,True,"OpenAI, Azure, Groq, Gemini, Mistral, Bedrock, Ollama, NVIDIA (via LangChain)",MIT,Chunk-parallel-merge graph pipeline; schema enforced by prompt instructions on OpenAI but native JSON-schema decoding on Ollama.,https://raw.githubusercontent.com/ScrapeGraphAI/Scrapegraph-ai/HEAD/examples/smart_scraper_graph/openai/smart_scraper_schema_openai.py
Unstructured-IO/unstructured,document-ingestion,"none - fixed Element taxonomy (Title, NarrativeText, Table, ...), no user-supplied schema","elements = partition(filename=""example-docs/eml/fake-email.eml"")",unknown,False,True,True,True,none (no LLM provider in the OSS core),Apache-2.0,No schema input at all: deterministic per-format parsers plus a layout detection model emit fixed element types,https://raw.githubusercontent.com/Unstructured-IO/unstructured/HEAD/README.md
Zipstack/unstract,document-ingestion,"none formal — per-field natural-language prompts authored in Prompt Studio, each tagged with an EnforceType (text/number/email/date/boolean/json/line-item/table) defined in backend/prompt_studio/prompt_studio_v2/models.py","curl --request POST --location '<host>/deployment/api/<org>/<api_name>/' --header 'Authorization: Bearer REPLACE_WITH_API_KEY' --form 'files=@""/path/to/file""' --form 'timeout=300' --form 'include_metadata=false'",prompt-and-parse,False,True,True,True,"OpenAI, Azure OpenAI, OpenAI-compatible, Anthropic, AWS Bedrock, Google Gemini, Ollama, Mistral, Anyscale (routed through LiteLLM)",AGPL-3.0,Schema lives server-side in Prompt Studio; the API call ships only the document,https://raw.githubusercontent.com/Zipstack/unstract/main/frontend/src/components/deployments/display-code/DisplayCode.jsx
docling-project/docling,document-ingestion,pydantic BaseModel class or instance; also plain dict or JSON-ish string template,"result = extractor.extract(source=file_path, template=Invoice)",fine-tuned-model,False,False,False,True,"single (local HF transformers VLM: numind/NuExtract-2.0-2B default, ibm-granite/granite-vision-4.1-4b alt)",MIT,"Pydantic template is rendered by polyfactory into a filled example JSON, then prompted to the VLM",https://raw.githubusercontent.com/docling-project/docling/HEAD/docs/examples/extraction.ipynb
dottxt-ai/outlines,constrained-decoding,"Python types + pydantic BaseModel; also JSON Schema, regex, Lark CFG, function signatures","ticket = model(prompt, ServiceTicket, max_new_tokens=500)",mixed,False,False,False,True,"transformers, llama.cpp, vLLM, SGLang, Ollama, MLX, LM Studio, TGI, OpenAI, Anthropic, Gemini, Mistral, Dottxt",Apache-2.0,"Identical model(prompt, output_type) call on every backend; enforcement silently swaps between logit masking and provider response_format",https://raw.githubusercontent.com/dottxt-ai/outlines/HEAD/README.md
